category,job_title,Text,experience_years,skills,education
Data Analysts Resumes,Business Intelligence Analyst,"Entry-Level Business Intelligence Analyst with 1.7+ years of experience in Data Analysts.. Proven expertise in Tableau, Data Visualization, NumPy, Excel, Machine Learning and ETL.. Educated with Master's in Computer Science from MIT.. Previously worked at Wells Fargo where I architected scalable solutions.. Contributed to agile development team delivering 6 features. Demonstrated proficiency in Data Visualization and Excel. Completed 3 internships gaining practical industry experience. Developed 4 applications using Tableau and Machine Learning. Passionate about mentoring developers.. Looking for challenging roles where I can leverage my expertise in ETL.",1.7,"Power BI, Dashboard Creation, Data Analysis, Data Visualization, Python",Bachelor's in Information Technology
DevOps Engineers Resumes,AWS Engineer,"Senior AWS Engineer with 6.8+ years of experience in DevOps Engineers.. Proven expertise in Nginx, Jenkins, GCP and Prometheus.. Educated with Master's in Computer Science from MIT.. Previously worked at Bank of America where I led scalable solutions.. Drove technical strategy resulting in 43% increase in team velocity. Architected and led implementation of microservices handling 5M daily requests. Established engineering best practices adopted across 5 teams. Passionate about mentoring developers.. Looking for challenging roles where I can leverage my expertise in Nginx.",6.8,"Linux, Helm, ELK Stack, Nginx, Jenkins, AWS, Prometheus, Python",Bachelor's in Information Technology
DevOps Engineers Resumes,Site Reliability Engineer,"Mid-Level Site Reliability Engineer with 5.3+ years of experience in DevOps Engineers.. Proven expertise in Jenkins, Bash, Nginx and ELK Stack.. Educated with Bachelor's in Mathematics from Harvard.. Previously worked at Netflix where I managed customer-facing solutions.. Mentored 3 junior developers and conducted code reviews. Architected scalable solutions using Bash and Nginx. Led development of 6 high-impact features serving 56550+ users. Passionate about building innovative solutions.. Looking for challenging roles where I can leverage my expertise in Nginx.",5.3,"Ansible, Kubernetes, Grafana, CI/CD, Jenkins, Nginx, Azure",Master's in Computer Science
Data Analysts Resumes,Business Intelligence Analyst,"Mid-Level Business Intelligence Analyst with 5.5+ years of experience in Data Analysts.. Proven expertise in Tableau, A/B Testing, Excel, SQL and Pandas.. Educated with PhD in Computer Science from Harvard.. Previously worked at Shopify where I led mission-critical solutions.. Mentored 2 junior developers and conducted code reviews. Reduced deployment time by 53% through CI/CD pipeline optimization. Architected scalable solutions using A/B Testing and Excel. Passionate about driving technical excellence.. Looking for challenging roles where I can leverage my expertise in A/B Testing.",5.5,"Power BI, SQL, Big Data, Statistics, Python, Dashboard Creation, Machine Learning, A/B Testing",Bachelor's in Business Administration
QA Engineers Resumes,Performance Tester,"Mid-Level Performance Tester with 4.6+ years of experience in QA Engineers.. Proven expertise in Python, Performance Testing, Cucumber, Scrum, SQL and Regression Testing.. Educated with Master's in Information Systems from Georgia Tech.. Previously worked at Square where I led high-availability solutions.. Architected scalable solutions using Python and Regression Testing. Managed technical debt reduction initiatives saving 145 developer hours monthly. Led development of 3 high-impact features serving 77460+ users. Passionate about driving technical excellence.. Looking for challenging roles where I can leverage my expertise in Cucumber.",4.6,"Python, Scrum, JUnit, Cucumber, SQL, Regression Testing, Manual Testing, JavaScript",Master's in Information Systems
Python Developers/Data Engineers Resumes,Data Scientist,"Principal/Leadership Data Scientist with 8.3+ years of experience in Python Developers/Data Engineers.. Proven expertise in NumPy, Machine Learning, Pandas, Dask, Kafka, Airflow and Python.. Educated with Bachelor's in Information Technology from Georgia Tech.. Previously worked at Zoom where I led high-availability solutions.. Drove 56% revenue growth through technical innovation. Built and managed 27 person engineering organization. Advised C-suite on technology strategy and digital transformation initiatives. Directed technology roadmap for 5 product portfolios. Passionate about building innovative solutions.. Looking for challenging roles where I can leverage my expertise in Machine Learning.",8.3,"AWS, Pandas, Redis, PyTorch, Data Pipelines",Master's in Artificial Intelligence
Frontend Developers Resumes,React Developer,"Principal/Leadership React Developer with 9.0+ years of experience in Frontend Developers.. Proven expertise in Webpack, JavaScript, React, UI/UX and Vue.js.. Educated with Bachelor's in Software Engineering from Carnegie Mellon.. Previously worked at Cognizant where I implemented high-availability solutions.. Advised C-suite on technology strategy and digital transformation initiatives. Directed technology roadmap for 5 product portfolios. Drove 49% revenue growth through technical innovation. Built and managed 15 person engineering organization. Passionate about building innovative solutions.. Looking for challenging roles where I can leverage my expertise in Vue.js.",9.0,"TypeScript, UI/UX, Angular, Jest",Self-taught
Python Developers/Data Engineers Resumes,Data Engineer,"Junior To Mid-Level Data Engineer with 3.8+ years of experience in Python Developers/Data Engineers.. Proven expertise in Airflow, MongoDB, NumPy and Kafka.. Educated with PhD in Computer Science from Cambridge.. Previously worked at Zoom where I managed enterprise-level solutions.. Improved system performance by 15% through optimization. Implemented automated testing resulting in 44% reduction in bugs. Collaborated with cross-functional teams on 3 major initiatives. Passionate about building innovative solutions.. Looking for challenging roles where I can leverage my expertise in Airflow.",3.8,"SQL, Redis, Spark, Deep Learning, AWS, Dask, Machine Learning",Master's in Artificial Intelligence
Frontend Developers Resumes,UI/UX Developer,"Junior To Mid-Level UI/UX Developer with 2.8+ years of experience in Frontend Developers.. Proven expertise in Storybook, Jest, Redux, JavaScript and GraphQL.. Educated with Bachelor's in Software Engineering from MIT.. Previously worked at Goldman Sachs where I led enterprise-level solutions.. Successfully delivered 12 projects using JavaScript and Jest. Improved system performance by 24% through optimization. Implemented automated testing resulting in 27% reduction in bugs. Passionate about mentoring developers.. Looking for challenging roles where I can leverage my expertise in Storybook.",2.8,"Jest, Storybook, Cypress, JavaScript, Vue.js, Sass",Master's in Artificial Intelligence
DevOps Engineers Resumes,Cloud Engineer,"Mid-Level Cloud Engineer with 5.1+ years of experience in DevOps Engineers.. Proven expertise in AWS, Python, Helm, Linux and Jenkins.. Educated with Self-taught from Stanford.. Previously worked at LinkedIn where I led customer-facing solutions.. Managed technical debt reduction initiatives saving 168 developer hours monthly. Architected scalable solutions using Jenkins and AWS. Reduced deployment time by 31% through CI/CD pipeline optimization. Mentored 5 junior developers and conducted code reviews. Passionate about solving complex problems.. Looking for challenging roles where I can leverage my expertise in Helm.",5.1,"CI/CD, Grafana, Jenkins, Python, Nginx, Terraform",PhD in Computer Science
Frontend Developers Resumes,React Developer,"Mid-Level React Developer with 5.3+ years of experience in Frontend Developers.. Proven expertise in Webpack, CSS3, REST APIs and Responsive Design.. Educated with Bachelor's in Mathematics from Stanford.. Previously worked at Dropbox where I led scalable solutions.. Managed technical debt reduction initiatives saving 79 developer hours monthly. Led development of 3 high-impact features serving 32962+ users. Passionate about solving complex problems.. Looking for challenging roles where I can leverage my expertise in Responsive Design.",5.3,"Jest, Responsive Design, JavaScript, Webpack, UI/UX, Cypress, HTML5, Storybook",PhD in Computer Science
Full Stack Developers Resumes,Java Full Stack Developer,"Entry-Level Java Full Stack Developer with 1.8+ years of experience in Full Stack Developers.. Proven expertise in ElasticSearch, Spring Boot, PostgreSQL, React, GraphQL and Python.. Educated with Bachelor's in Software Engineering from Stanford.. Previously worked at Spotify where I implemented high-availability solutions.. Demonstrated proficiency in ElasticSearch and GraphQL. Completed 2 internships gaining practical industry experience. Developed 3 applications using React and GraphQL. Passionate about building innovative solutions.. Looking for challenging roles where I can leverage my expertise in Python.",1.8,"Redis, ElasticSearch, Docker, React, GraphQL, Java",Bachelor's in Software Engineering
DevOps Engineers Resumes,AWS Engineer,"Principal/Leadership AWS Engineer with 9.0+ years of experience in DevOps Engineers.. Proven expertise in Python, Azure, Jenkins, AWS, Grafana, Nginx and CI/CD.. Educated with Bachelor's in Electrical Engineering from Georgia Tech.. Previously worked at LinkedIn where I implemented enterprise-level solutions.. Built and managed 33 person engineering organization. Directed technology roadmap for 3 product portfolios. Advised C-suite on technology strategy and digital transformation initiatives. Drove 56% revenue growth through technical innovation. Passionate about driving technical excellence.. Looking for challenging roles where I can leverage my expertise in Nginx.",9.0,"Helm, Grafana, Docker, Linux, Nginx, Azure, GCP, Kubernetes",Bachelor's in Electrical Engineering
Security Engineers Resumes,Security Engineer,"Principal/Leadership Security Engineer with 9.8+ years of experience in Security Engineers.. Proven expertise in Network Security, Security Auditing, CISSP, AWS Security and Vulnerability Assessment.. Educated with Bachelor's in Mathematics from Oxford.. Previously worked at Cognizant where I managed mission-critical solutions.. Built and managed 29 person engineering organization. Established engineering culture and processes across global teams. Advised C-suite on technology strategy and digital transformation initiatives. Drove 63% revenue growth through technical innovation. Passionate about solving complex problems.. Looking for challenging roles where I can leverage my expertise in Vulnerability Assessment.",9.8,"SOC, AWS Security, NIST, Network Security, Security Auditing, Penetration Testing, SIEM",Bachelor's in Software Engineering
Frontend Developers Resumes,UI/UX Developer,"Senior UI/UX Developer with 6.0+ years of experience in Frontend Developers.. Proven expertise in Angular, Jest, Sass and TypeScript.. Educated with Master's in Data Science from Georgia Tech.. Previously worked at Tesla where I architected scalable solutions.. Spearheaded cloud migration project saving $447K annually. Led team of 5 engineers delivering critical business solutions. Established engineering best practices adopted across 6 teams. Passionate about solving complex problems.. Looking for challenging roles where I can leverage my expertise in TypeScript.",6.0,"React, Sass, HTML5, Webpack, Angular, REST APIs, Storybook, UI/UX",Bachelor's in Information Technology
Frontend Developers Resumes,Vue.js Developer,"Junior To Mid-Level Vue.js Developer with 2.6+ years of experience in Frontend Developers.. Proven expertise in HTML5, GraphQL, Storybook, Sass and Angular.. Educated with PhD in Computer Science from MIT.. Previously worked at Cognizant where I implemented high-availability solutions.. Implemented automated testing resulting in 48% reduction in bugs. Improved system performance by 18% through optimization. Collaborated with cross-functional teams on 5 major initiatives. Successfully delivered 6 projects using GraphQL and HTML5. Passionate about building innovative solutions.. Looking for challenging roles where I can leverage my expertise in HTML5.",2.6,"Vue.js, HTML5, JavaScript, Sass, CSS3, GraphQL",Master's in Information Systems
Full Stack Developers Resumes,Java Full Stack Developer,"Senior Java Full Stack Developer with 7.3+ years of experience in Full Stack Developers.. Proven expertise in GraphQL, REST APIs, CI/CD, ElasticSearch, Git, Node.js and JavaScript.. Educated with Bachelor's in Information Technology from MIT.. Previously worked at Bank of America where I developed scalable solutions.. Drove technical strategy resulting in 29% increase in team velocity. Architected and led implementation of microservices handling 9M daily requests. Led team of 8 engineers delivering critical business solutions. Passionate about building innovative solutions.. Looking for challenging roles where I can leverage my expertise in JavaScript.",7.3,"Docker, JavaScript, GraphQL, ElasticSearch, Git, Python",MBA
Data Analysts Resumes,Marketing Analyst,"Principal/Leadership Marketing Analyst with 10.6+ years of experience in Data Analysts.. Proven expertise in Big Data, SQL, A/B Testing, Data Analysis and Statistics.. Educated with Bachelor's in Information Technology from UC Berkeley.. Previously worked at Google where I managed customer-facing solutions.. Advised C-suite on technology strategy and digital transformation initiatives. Drove 33% revenue growth through technical innovation. Directed technology roadmap for 3 product portfolios. Passionate about driving technical excellence.. Looking for challenging roles where I can leverage my expertise in A/B Testing.",10.6,"Machine Learning, Dashboard Creation, Python, Data Analysis, Statistics, SQL, Power BI",Bachelor's in Electrical Engineering
Python Developers/Data Engineers Resumes,Machine Learning Engineer,"Mid-Level Machine Learning Engineer with 5.6+ years of experience in Python Developers/Data Engineers.. Proven expertise in AWS, TensorFlow, Deep Learning, Dask and Data Pipelines.. Educated with Bachelor's in Information Technology from Cambridge.. Previously worked at Amazon where I implemented high-availability solutions.. Reduced deployment time by 51% through CI/CD pipeline optimization. Architected scalable solutions using Deep Learning and Dask. Passionate about building innovative solutions.. Looking for challenging roles where I can leverage my expertise in Data Pipelines.",5.6,"ETL, Python, Airflow, SQL, MongoDB, Dask, Kafka, Pandas",MBA
DevOps Engineers Resumes,Site Reliability Engineer,"Principal/Leadership Site Reliability Engineer with 9.7+ years of experience in DevOps Engineers.. Proven expertise in AWS, Jenkins, Prometheus and Linux.. Educated with Self-taught from Georgia Tech.. Previously worked at Cognizant where I managed high-availability solutions.. Drove 35% revenue growth through technical innovation. Advised C-suite on technology strategy and digital transformation initiatives. Built and managed 22 person engineering organization. Passionate about driving technical excellence.. Looking for challenging roles where I can leverage my expertise in Linux.",9.7,"Grafana, GCP, Nginx, Kubernetes, ELK Stack, Terraform, CI/CD",Master's in Data Science
Security Engineers Resumes,GRC Analyst,"Senior GRC Analyst with 6.9+ years of experience in Security Engineers.. Proven expertise in Network Security, Identity Management, CEH, Bash, Penetration Testing, SIEM and Python.. Educated with Bachelor's in Mathematics from MIT.. Previously worked at Dropbox where I managed mission-critical solutions.. Architected and led implementation of microservices handling 8M daily requests. Spearheaded cloud migration project saving $270K annually. Passionate about driving technical excellence.. Looking for challenging roles where I can leverage my expertise in Identity Management.",6.9,"AWS Security, Bash, Network Security, Vulnerability Assessment, SIEM",Bachelor's in Business Administration
Mobile Developers Resumes,React Native Developer,"Entry-Level React Native Developer with 0.9+ years of experience in Mobile Developers.. Proven expertise in Firebase, Xcode, Android, Mobile UI/UX, REST APIs, Google Play and Swift.. Educated with Bachelor's in Electrical Engineering from University of Michigan.. Previously worked at Uber where I managed mission-critical solutions.. Completed 1 internships gaining practical industry experience. Demonstrated proficiency in Firebase and REST APIs. Contributed to agile development team delivering 5 features. Passionate about solving complex problems.. Looking for challenging roles where I can leverage my expertise in Swift.",0.9,"Dart, React Native, App Store, REST APIs, GraphQL, Git, Android Studio",Master's in Information Systems
QA Engineers Resumes,Test Automation Engineer,"Principal/Leadership Test Automation Engineer with 9.3+ years of experience in QA Engineers.. Proven expertise in Test Automation, PyTest, Scrum, JavaScript, Python, SQL and Performance Testing.. Educated with Master's in Computer Science from Oxford.. Previously worked at Twilio where I developed high-availability solutions.. Established engineering culture and processes across global teams. Advised C-suite on technology strategy and digital transformation initiatives. Passionate about driving technical excellence.. Looking for challenging roles where I can leverage my expertise in Python.",9.3,"SQL, Manual Testing, Test Automation, Scrum, TestNG, Cucumber",MBA
Technical Project Managers Resumes,Delivery Manager,"Mid-Level Delivery Manager with 4.7+ years of experience in Technical Project Managers.. Proven expertise in Project Management, Confluence, Budgeting, PMP, JIRA, Leadership and Microsoft Project.. Educated with PhD in Computer Science from Oxford.. Previously worked at Twitter where I managed high-availability solutions.. Led development of 5 high-impact features serving 19061+ users. Architected scalable solutions using JIRA and Project Management. Mentored 4 junior developers and conducted code reviews. Passionate about building innovative solutions.. Looking for challenging roles where I can leverage my expertise in Microsoft Project.",4.7,"Leadership, Strategic Planning, Project Management, PMP, Risk Management, JIRA, SDLC",Bachelor's in Software Engineering
Full Stack Developers Resumes,Full Stack Developer,"Mid-Level Full Stack Developer with 5.8+ years of experience in Full Stack Developers.. Proven expertise in React, Microservices, ElasticSearch, GraphQL and MongoDB.. Educated with Master's in Data Science from Harvard.. Previously worked at Dropbox where I implemented scalable solutions.. Mentored 2 junior developers and conducted code reviews. Architected scalable solutions using ElasticSearch and GraphQL. Passionate about mentoring developers.. Looking for challenging roles where I can leverage my expertise in MongoDB.",5.8,"React, Node.js, Java, Docker",Self-taught
Security Engineers Resumes,Penetration Tester,"Junior To Mid-Level Penetration Tester with 3.8+ years of experience in Security Engineers.. Proven expertise in Identity Management, SOC, Python and CEH.. Educated with Bachelor's in Business Administration from Carnegie Mellon.. Previously worked at Hewlett Packard where I managed enterprise-level solutions.. Implemented automated testing resulting in 38% reduction in bugs. Collaborated with cross-functional teams on 6 major initiatives. Successfully delivered 11 projects using SOC and Python. Passionate about building innovative solutions.. Looking for challenging roles where I can leverage my expertise in CEH.",3.8,"Network Security, CEH, SIEM, Encryption",Bachelor's in Software Engineering
Mobile Developers Resumes,Flutter Developer,"Junior To Mid-Level Flutter Developer with 3.5+ years of experience in Mobile Developers.. Proven expertise in Flutter, React Native, App Store, Kotlin and Swift.. Educated with Self-taught from Cambridge.. Previously worked at Apple where I developed scalable solutions.. Implemented automated testing resulting in 24% reduction in bugs. Collaborated with cross-functional teams on 6 major initiatives. Successfully delivered 9 projects using React Native and Kotlin. Passionate about mentoring developers.. Looking for challenging roles where I can leverage my expertise in Swift.",3.5,"Firebase, iOS, Mobile UI/UX, Android Studio, REST APIs, Git, Android",Master's in Data Science
QA Engineers Resumes,Test Automation Engineer,"Mid-Level Test Automation Engineer with 4.1+ years of experience in QA Engineers.. Proven expertise in TestNG, Test Automation, JavaScript, JUnit and Python.. Educated with Master's in Information Systems from Georgia Tech.. Previously worked at KPMG where I managed enterprise-level solutions.. Led development of 4 high-impact features serving 81843+ users. Reduced deployment time by 34% through CI/CD pipeline optimization. Passionate about driving technical excellence.. Looking for challenging roles where I can leverage my expertise in JUnit.",4.1,"SQL, Test Automation, JUnit, Scrum, JavaScript, Python, Regression Testing, Selenium",Master's in Information Systems
Technical Project Managers Resumes,Technical Project Manager,"Principal/Leadership Technical Project Manager with 8.9+ years of experience in Technical Project Managers.. Proven expertise in PMP, Risk Management, SDLC, Confluence, Strategic Planning and Budgeting.. Educated with Master's in Computer Science from Cambridge.. Previously worked at Accenture where I implemented scalable solutions.. Established engineering culture and processes across global teams. Advised C-suite on technology strategy and digital transformation initiatives. Passionate about driving technical excellence.. Looking for challenging roles where I can leverage my expertise in Risk Management.",8.9,"PMP, Budgeting, Risk Management, Stakeholder Management, SDLC, JIRA",Self-taught
Data Analysts Resumes,Business Intelligence Analyst,"Entry-Level Business Intelligence Analyst with 1.7+ years of experience in Data Analysts.. Proven expertise in Power BI, Dashboard Creation, A/B Testing, NumPy, Python and Statistics.. Educated with Master's in Computer Science from Oxford.. Previously worked at Oracle where I managed high-availability solutions.. Demonstrated proficiency in NumPy and Python. Contributed to agile development team delivering 6 features. Passionate about mentoring developers.. Looking for challenging roles where I can leverage my expertise in NumPy.",1.7,"Excel, Data Analysis, Machine Learning, Big Data, R, NumPy",PhD in Computer Science
Python Developers/Data Engineers Resumes,Data Scientist,"Mid-Level Data Scientist with 5.4+ years of experience in Python Developers/Data Engineers.. Proven expertise in TensorFlow, PostgreSQL, Machine Learning, Airflow and ETL.. Educated with Bachelor's in Mathematics from Georgia Tech.. Previously worked at Deloitte where I led mission-critical solutions.. Led development of 5 high-impact features serving 14547+ users. Managed technical debt reduction initiatives saving 134 developer hours monthly. Architected scalable solutions using Machine Learning and PostgreSQL. Passionate about solving complex problems.. Looking for challenging roles where I can leverage my expertise in ETL.",5.4,"Docker, Dask, PyTorch, SQL, Machine Learning, AWS, Python, NumPy",Bachelor's in Information Technology
Technical Project Managers Resumes,Scrum Master,"Junior To Mid-Level Scrum Master with 3.4+ years of experience in Technical Project Managers.. Proven expertise in Agile, Scrum, Microsoft Project, Strategic Planning, Communication, Leadership and SDLC.. Educated with Bachelor's in Business Administration from UC Berkeley.. Previously worked at Goldman Sachs where I led enterprise-level solutions.. Collaborated with cross-functional teams on 6 major initiatives. Improved system performance by 32% through optimization. Passionate about building innovative solutions.. Looking for challenging roles where I can leverage my expertise in Leadership.",3.4,"Risk Management, Confluence, Budgeting, PMP, Communication, Scrum, Strategic Planning",Bachelor's in Information Technology
DevOps Engineers Resumes,Site Reliability Engineer,"Mid-Level Site Reliability Engineer with 4.2+ years of experience in DevOps Engineers.. Proven expertise in AWS, Linux, CI/CD, Docker and Helm.. Educated with Master's in Artificial Intelligence from Carnegie Mellon.. Previously worked at Infosys where I developed enterprise-level solutions.. Reduced deployment time by 34% through CI/CD pipeline optimization. Mentored 4 junior developers and conducted code reviews. Led development of 3 high-impact features serving 35734+ users. Managed technical debt reduction initiatives saving 98 developer hours monthly. Passionate about building innovative solutions.. Looking for challenging roles where I can leverage my expertise in Helm.",4.2,"Jenkins, Kubernetes, ELK Stack, Nginx",Master's in Computer Science
Backend Developers Resumes,Node.js Developer,"Junior To Mid-Level Node.js Developer with 2.0+ years of experience in Backend Developers.. Proven expertise in Kubernetes, MongoDB, Microservices, Redis, Python and AWS.. Educated with Self-taught from Oxford.. Previously worked at Salesforce where I implemented high-availability solutions.. Collaborated with cross-functional teams on 6 major initiatives. Successfully delivered 8 projects using Redis and Kubernetes. Improved system performance by 27% through optimization. Implemented automated testing resulting in 26% reduction in bugs. Passionate about mentoring developers.. Looking for challenging roles where I can leverage my expertise in AWS.",2.0,"Node.js, Spring Boot, Microservices, Python, RabbitMQ",Bachelor's in Computer Science
QA Engineers Resumes,QA Engineer,"Principal/Leadership QA Engineer with 12.0+ years of experience in QA Engineers.. Proven expertise in Manual Testing, Scrum, SQL, Test Automation, Agile, Selenium and JavaScript.. Educated with Bachelor's in Information Technology from Carnegie Mellon.. Previously worked at Citigroup where I developed scalable solutions.. Established engineering culture and processes across global teams. Directed technology roadmap for 6 product portfolios. Passionate about driving technical excellence.. Looking for challenging roles where I can leverage my expertise in Selenium.",12.0,"Agile, Regression Testing, Python, TestNG, SQL",Bachelor's in Information Technology
Security Engineers Resumes,Penetration Tester,"Entry-Level Penetration Tester with 0.8+ years of experience in Security Engineers.. Proven expertise in Network Security, Bash, Encryption, Security Auditing, SIEM and NIST.. Educated with MBA from Harvard.. Previously worked at Hewlett Packard where I architected high-availability solutions.. Contributed to agile development team delivering 5 features. Completed 1 internships gaining practical industry experience. Passionate about building innovative solutions.. Looking for challenging roles where I can leverage my expertise in Security Auditing.",0.8,"NIST, Security Auditing, SOC, CISSP, Firewalls, Network Security, Encryption",PhD in Computer Science
Security Engineers Resumes,Security Engineer,"Junior To Mid-Level Security Engineer with 3.7+ years of experience in Security Engineers.. Proven expertise in SIEM, CEH, Bash, Vulnerability Assessment and Network Security.. Educated with Master's in Information Systems from UC Berkeley.. Previously worked at Twitter where I architected scalable solutions.. Improved system performance by 10% through optimization. Implemented automated testing resulting in 29% reduction in bugs. Passionate about mentoring developers.. Looking for challenging roles where I can leverage my expertise in SIEM.",3.7,"CEH, Security Auditing, Firewalls, AWS Security",Bachelor's in Software Engineering
Backend Developers Resumes,Django Developer,"Principal/Leadership Django Developer with 15.2+ years of experience in Backend Developers.. Proven expertise in Python, PostgreSQL, Microservices, Kubernetes and Docker.. Educated with Bachelor's in Computer Science from Harvard.. Previously worked at Netflix where I led scalable solutions.. Established engineering culture and processes across global teams. Advised C-suite on technology strategy and digital transformation initiatives. Directed technology roadmap for 5 product portfolios. Drove 58% revenue growth through technical innovation. Passionate about driving technical excellence.. Looking for challenging roles where I can leverage my expertise in Python.",15.2,"MongoDB, RabbitMQ, Spring Boot, Kafka, Kubernetes, Node.js",Self-taught
Python Developers/Data Engineers Resumes,Data Scientist,"Junior To Mid-Level Data Scientist with 3.8+ years of experience in Python Developers/Data Engineers.. Proven expertise in PyTorch, NumPy, Docker, Spark, Deep Learning, Data Pipelines and TensorFlow.. Educated with Master's in Artificial Intelligence from Oxford.. Previously worked at PayPal where I managed customer-facing solutions.. Collaborated with cross-functional teams on 3 major initiatives. Successfully delivered 12 projects using Spark and Data Pipelines. Implemented automated testing resulting in 26% reduction in bugs. Passionate about driving technical excellence.. Looking for challenging roles where I can leverage my expertise in TensorFlow.",3.8,"Dask, Kafka, ETL, TensorFlow, AWS, MongoDB",Bachelor's in Software Engineering
DevOps Engineers Resumes,Kubernetes Engineer,"Junior To Mid-Level Kubernetes Engineer with 3.0+ years of experience in DevOps Engineers.. Proven expertise in Terraform, Azure, Linux, Kubernetes, Grafana, AWS and Docker.. Educated with PhD in Computer Science from UC Berkeley.. Previously worked at IBM where I developed mission-critical solutions.. Implemented automated testing resulting in 48% reduction in bugs. Improved system performance by 29% through optimization. Passionate about driving technical excellence.. Looking for challenging roles where I can leverage my expertise in Azure.",3.0,"Kubernetes, Azure, Docker, ELK Stack, Bash",Bachelor's in Computer Science
Python Developers/Data Engineers Resumes,Data Scientist,"Senior Data Scientist with 6.6+ years of experience in Python Developers/Data Engineers.. Proven expertise in Data Pipelines, NumPy, SQL, Spark and TensorFlow.. Educated with Bachelor's in Computer Science from Stanford.. Previously worked at Tata Consultancy where I implemented mission-critical solutions.. Architected and led implementation of microservices handling 5M daily requests. Established engineering best practices adopted across 5 teams. Drove technical strategy resulting in 24% increase in team velocity. Passionate about solving complex problems.. Looking for challenging roles where I can leverage my expertise in NumPy.",6.6,"Spark, Data Pipelines, PostgreSQL, Airflow, ETL",Bachelor's in Business Administration
QA Engineers Resumes,QA Engineer,"Junior To Mid-Level QA Engineer with 3.3+ years of experience in QA Engineers.. Proven expertise in TestNG, Test Automation, Scrum, PyTest and JavaScript.. Educated with Bachelor's in Electrical Engineering from Oxford.. Previously worked at Twitter where I led mission-critical solutions.. Implemented automated testing resulting in 24% reduction in bugs. Successfully delivered 9 projects using TestNG and JavaScript. Improved system performance by 24% through optimization. Collaborated with cross-functional teams on 5 major initiatives. Passionate about building innovative solutions.. Looking for challenging roles where I can leverage my expertise in PyTest.",3.3,"Regression Testing, PyTest, JUnit, Scrum",Master's in Artificial Intelligence
Backend Developers Resumes,Node.js Developer,"Senior Node.js Developer with 7.7+ years of experience in Backend Developers.. Proven expertise in Python, Kubernetes, Spring Boot, MySQL, RabbitMQ and Node.js.. Educated with Master's in Computer Science from Cambridge.. Previously worked at JP Morgan Chase where I developed mission-critical solutions.. Architected and led implementation of microservices handling 6M daily requests. Led team of 9 engineers delivering critical business solutions. Established engineering best practices adopted across 7 teams. Passionate about building innovative solutions.. Looking for challenging roles where I can leverage my expertise in Python.",7.7,"REST APIs, Docker, MongoDB, Django, RabbitMQ, MySQL, Node.js, PostgreSQL",Bachelor's in Software Engineering
DevOps Engineers Resumes,Cloud Engineer,"Entry-Level Cloud Engineer with 0.6+ years of experience in DevOps Engineers.. Proven expertise in Ansible, Bash, Kubernetes, AWS, Linux and Jenkins.. Educated with MBA from MIT.. Previously worked at Apple where I architected mission-critical solutions.. Contributed to agile development team delivering 6 features. Developed 3 applications using Kubernetes and Ansible. Demonstrated proficiency in Linux and Linux. Completed 3 internships gaining practical industry experience. Passionate about building innovative solutions.. Looking for challenging roles where I can leverage my expertise in Kubernetes.",0.6,"GCP, Kubernetes, Python, Docker, CI/CD, Ansible, Bash, AWS",Master's in Artificial Intelligence
Mobile Developers Resumes,Android Developer,"Principal/Leadership Android Developer with 9.5+ years of experience in Mobile Developers.. Proven expertise in Swift, Android, Android Studio and Mobile UI/UX.. Educated with Master's in Data Science from University of Michigan.. Previously worked at Apple where I architected mission-critical solutions.. Drove 40% revenue growth through technical innovation. Directed technology roadmap for 5 product portfolios. Advised C-suite on technology strategy and digital transformation initiatives. Passionate about mentoring developers.. Looking for challenging roles where I can leverage my expertise in Android Studio.",9.5,"Flutter, iOS, Firebase, Mobile UI/UX, Git",Bachelor's in Mathematics
Full Stack Developers Resumes,MERN Stack Developer,"Mid-Level MERN Stack Developer with 5.8+ years of experience in Full Stack Developers.. Proven expertise in MongoDB, Spring Boot, AWS and React.. Educated with Bachelor's in Software Engineering from Cambridge.. Previously worked at Uber where I architected customer-facing solutions.. Architected scalable solutions using AWS and React. Led development of 6 high-impact features serving 90512+ users. Managed technical debt reduction initiatives saving 112 developer hours monthly. Passionate about mentoring developers.. Looking for challenging roles where I can leverage my expertise in Spring Boot.",5.8,"JavaScript, Docker, PostgreSQL, Microservices",Master's in Computer Science
Data Analysts Resumes,Product Analyst,"Principal/Leadership Product Analyst with 9.9+ years of experience in Data Analysts.. Proven expertise in Data Visualization, Machine Learning, R, ETL and Power BI.. Educated with PhD in Computer Science from MIT.. Previously worked at Deloitte where I implemented scalable solutions.. Built and managed 19 person engineering organization. Directed technology roadmap for 6 product portfolios. Drove 32% revenue growth through technical innovation. Established engineering culture and processes across global teams. Passionate about mentoring developers.. Looking for challenging roles where I can leverage my expertise in Data Visualization.",9.9,"Dashboard Creation, Excel, Machine Learning, SQL",Master's in Computer Science
